
skl_trade|【魅】 交 易 
skl_trade_desc|每 点 技 能 减 少 5%%的 交 易 损 失 。 （ 队 伍 技 能 , 上 限 1 0 级 ） 
skl_leadership|【魅】 统 御 
skl_leadership_desc|每 技 能 等 级 增 加 等 级 平 方 带 兵 人 数 ， 每 点 增 加 俘 虏 上 限 等 级 平 方 人 ，每 点 提 高 部 队 士 气 ， 减 少 部 队 开 销 和 工 资 5%%（ 领 袖 技 能 ） 。队 伍 NPC 也 会 根 据 统 御 等 级 招 护 卫 进 行 战 斗 ， 并 每 天 额 外 提 供 等 级 平 方 点 招 兵 点 ！（个 人 技 能 ，上 限 10 级 ）
skl_prisoner_management|【魅】 俘 虏 管 理 
skl_prisoner_management_desc|每 点 增 加 俘 虏 上 限 5人 。队 伍 技 能 最 高 NPC 与 玩 家 叠 加 （ 队 伍 技 能 ，上 限 15 级  , 上 限 1 0 级 ） 
skl_reserved_1|Reserved Skill 1 
skl_reserved_1_desc|This is a reserved skill.
skl_reserved_2|Reserved Skill 2 
skl_reserved_2_desc|This is a reserved skill.
skl_reserved_3|【魅】 激 扬 士 气  
skl_reserved_3_desc|每 点 额 外 增 加 10%%本 人 杀 敌 经 验 ，此 经 验 战 后 平 分 给 队 伍 。并 每 级 增 加 5%%几 率 获 得 战 场 士 气 ，战 场 士 气 上 限 150点 ，每 1点 增 加 1%%全 军 伤 害 ,战 场 士 气 开 战 时 已 部 队 士 气 为 基 数 ，战 后 不 会 改 变 部 队 士 气 （个 人 技 能 ，所 有 NPC 有 效 ，上 限 15 级 ）
skl_reserved_4|【魅】 毅 念 /才 艺 
skl_reserved_4_desc|毅 念 ：每 三 秒 恢 复 到 自 己 最 低 血 量 （ 最 低 血 量 为 5+意 念 等 级 x2 ） 。^^才 艺 ：大 地 图 上 一 定 几 率 增 加 全 军 士 气 。（等 级 对 应 为 ：11%%,24%%,39%,56%%,75%%… … 375%%）（才 艺 总 和 除 全 军 人 数 为 触 发 几 率 ） （个 人 技 能 ，上 限 15 级 ）
skl_persuasion|【魅】 说 服 力 
skl_persuasion_desc|此 技 能 帮 助 你 ， 使 你 的 观 点 更 容 易 让 人 接 受 。 同 时 还 能 降 低 让 NPC按 照 你 所 说 的 去 做 所 需 的 最 低 关 系 值 。 （ 个 人 技 能 ） 
skl_engineer|【智】 科 技 学 
skl_engineer_desc|此 技 能 使 你 更 有 效 地 建 造 攻 城 器 械 和 加 快 封 地 建 设 ，并 提 高 科 技 点 获 得 速 度 ，效 果 为 等 级 的 平 方 %%（队 伍 技 能 ）。 并 每 天 额 外 提 供 等 级 平 方 点 科 技 点（个 人 技 能 ，上 限 15 级 ）。
skl_first_aid|【智】 急 救 
skl_first_aid_desc|每 点 返 还 给 英 雄 们 6%%在 上 次 战 斗 中 损 失 的 生 命 值 。在 战 场 上 拥 有 急 救 的 士 兵 会 每 三 秒 恢 复 周 围 1 0 米 以 内 友 军 3 点 生 命 ，每 个 等 级 提 供 4%% 恢 复 上 限 （ 队 伍 技 能 ，上 限 12 级  ） 
skl_surgery|【智】 手 术 
skl_surgery_desc|每 点 增 加 4%%的 机 会 ， 使 得 本 来 会 死 亡 的 队 伍 成 员 保 住 性 命 （ 对 不 死 族 无 效 ）。 （ 队 伍 技 能 ，上 限 6级  ） 
skl_wound_treatment|【智】 疗 伤 
skl_wound_treatment_desc|每 点 增 加 队 伍 生 命 值 回 复 速 度 20%%。 （ 队 伍 技 能 ，上 限 12 级 ） 
skl_inventory_management|【智】 物 品 管 理 
skl_inventory_management_desc|每 点 增 加 物 品 栏 容 量 6格 。 （ 领 袖 技 能 ）^^此 技 能 现 在 会 随 队 伍 NPC的 最 高 技 能 永 久 增 长 ，不 建 议 领 袖 自 己 点 此 技 能 。 
skl_spotting|【智】 侦 察 
skl_spotting_desc|每 点 增 加 队 伍 侦 察 范 围 10%%。从 脚 印 和 其 它 印 迹 中 发 现 更 多 信 息 。（ 队 伍 技 能 ） 
skl_pathfinding|【智】 向 导 
skl_pathfinding_desc|增 加 队 伍 地 图 移 动 速 度 3xA+(AxA/2)%%。  A 为 技 能 等 级 （ 队 伍 技 能 ） 
skl_tactics|【智】 谋 略  
skl_tactics_desc|每 2点 增 加 1点 战 场 优 势 （ 影 响 敌 我 上 场 人 数 比 例 ），并 提 升 计 划 成 功 率 。（ 队 伍 技 能 ，上 限 15 级 ） 
skl_tracking|【智】 跟 踪 
skl_tracking_desc|从 脚 印 和 其 它 印 迹 中 发 现 更 多 信 息 。 （ 队 伍 技 能 ） 
skl_trainer|【魅】 教 练 
skl_trainer_desc|每 天 每 位 有 该 项 技 能 的 英 雄 会 增 加 经 验 值 给 其 它 级 别 较 低 的 队 伍 成 员 。 传 授 的 经 验 值 依 次 为 ： 0， 4， 10， 16， 23， 30， 38， 46， 55， 65， 80 。 （ 个 人 技 能 ） 
skl_reserved_5|【智】 几 何 瞄 准 
skl_reserved_5_desc|每 点 增 加 10%%弩 箭 与 火 枪 、火 球 伤 害 ！（个 人 技 能 ，上 限 15 级 ）
skl_reserved_6|Reserved Skill 6 
skl_reserved_6_desc|This is a reserved skill.
skl_reserved_7|Reserved Skill 7 
skl_reserved_7_desc|This is a reserved skill.
skl_reserved_8|Reserved Skill 8 
skl_reserved_8_desc|This is a reserved skill.
skl_looting|【敏】 掠 夺 
skl_looting_desc|每 点 提 高 获 得 战 利 品 的 数 量 10%%。 （ 队 伍 技 能 ）， 并 且 杀 敌 也 能 掠 夺 金 钱 ！( 个 人 技 能 ，上 限 15 级 ) 
skl_horse_archery|【敏】 骑 射 
skl_horse_archery_desc|减 少 在 马 背 上 射 箭 与 投 掷 的 精 度 和 伤 害 损 失 。 （ 个 人 技 能 ） 
skl_riding|【敏】 骑 术 
