
pt_none|无 
pt_rescued_prisoners|被 救 的 俘 虏 
pt_enemy|敌 人 
pt_hero_party|英 雄 部 队 
pt_village_defenders|村 庄 卫 队 
pt_cattle_herd|牛 群 
pt_looters|劫 匪 
pt_looters2|盗 贼 
pt_looters3|人 口 贩 子  
pt_looters4|奴 贩 首 领   
pt_manhunters|赏 金 猎 人 
pt_steppe_bandits|马 贼 
pt_steppe_bandits2|响 马 
pt_steppe_bandits3|黑 旗 库 吉 特 骑 手 
pt_steppe_bandits4|黑 旗 库 吉 特 精 英 骑 手 
pt_steppe_bandits5|黑 旗 库 吉 特 精 英 骑 手 (BOSS) 
pt_taiga_bandits|雪 原 盗 贼 
pt_taiga_bandits2|游 击 盗 匪 
pt_taiga_bandits3|资 深 游 击 盗 匪 
pt_taiga_bandits4|游 击 盗 匪 头 目 
pt_taiga_bandits5|舍 伍 德 森 林 的 义 众 (BOSS) 
pt_desert_bandits|沙 漠 盗 贼 
pt_desert_bandits2|沙 漠 强 盗 
pt_desert_bandits3|沙 漠 大 盗 
pt_desert_bandits4|沙 漠 大 盗 头 目 
pt_desert_bandits5|沙 漠 大 盗 头 目 (BOSS) 
pt_forest_bandits|绿 林 强 盗 
pt_mountain_bandits|山 贼 
pt_mountain_bandits2|土 匪 
pt_mountain_bandits3|江 洋 大 盗 
pt_mountain_bandits4|江 洋 大 盗 头 目 
pt_mountain_bandits5|江 洋 大 盗 头 目 (BOSS) 
pt_sea_raiders|海 贼 
pt_sea_raiders2|海 寇 
pt_sea_raiders3|海 盗 
pt_sea_raiders4|海 盗 头 目 
pt_sea_raiders5|草 帽 海 贼 团 (BOSS) 
pt_deserters|逃 兵 
pt_merchant_caravan|商 人 的 商 队 
pt_troublesome_bandits|难 对 付 的 强 盗 
pt_bandits_awaiting_ransom|等 待 赎 金 的 强 盗 
pt_kidnapped_girl|被 绑 架 的 女 孩 
pt_village_farmers|村 民 
pt_spy_partners|不 显 眼 的 旅 行 者 
pt_runaway_serfs|逃 跑 的 农 奴 
pt_spy|普 通 的 市 民 
pt_sacrificed_messenger|献 祭 信 史 
pt_forager_party|征 粮 队 
pt_scout_party|侦 察 队 
pt_patrol_party|巡 逻 队 
pt_messenger_party|信 使 
pt_raider_party|突 袭 队 
pt_raider_captives|猎 俘 队 
pt_kingdom_caravan_party|商 队 
pt_prisoner_train_party|运 俘 队 
pt_default_prisoners|逃 走 的 俘 虏 
pt_routed_warriors|溃 军 
pt_center_reinforcements|增 援 部 队 
pt_steppe_bandit_lair|响 马 老 巢 
pt_taiga_bandit_lair|雪 原 强 盗 老 巢 
pt_desert_bandit_lair|沙 漠 强 盗 老 巢 
pt_forest_bandit_lair|绿 林 强 盗 营 地 
pt_mountain_bandit_lair|山 贼 藏 身 处 
pt_sea_raider_lair|海 寇 码 头 
pt_looter_lair|绑 匪 藏 身 处 
pt_leaded_looters|盗 贼 团 
pt_ershixiong|朱 坤 自 立 军 
pt_boss1|劫 匪 头 目 
pt_boss2|土 匪 头 目 
pt_boss3|绿 林 头 目 
pt_boss4|山 贼 头 目 
pt_boss5|海 寇 头 目 
pt_boss6|不 死 族 大 军 
pt_busi1|死 奴 
pt_busi2|亡 灵 
pt_busi3|亡 灵 轻 甲 卫 队 
pt_busi4|亡 灵 卫 队 
pt_busi5|亡 灵 重 甲 卫 队 
pt_busi6|亡 灵 斥 候 
pt_busi7|亡 灵 先 锋 
pt_busi8|亡 灵 铁 骑 
pt_busi9|恐 怖 军 团 
pt_busi11|特 殊 的 不 死 军 团 
pt_qishiguozhuli|兵 力 较 为 薄 弱 部 队 
pt_qishiguoyibing|数 不 清 的 精 英 部 队 
pt_qishiguoyibing2|数 不 清 的 精 英 部 队 
pt_qishiguoxianfeng|斯 瓦 迪 亚 先 锋 部 队 
pt_heianpohuazhe|黑 暗 特 工 队 
pt_bubingguoxianfeng|诺 德 先 锋 部 队 
pt_bubingguozhuli|诺 德 会 战 主 力 军 
pt_bubingguozhuibing|诺 德 伏 兵 
pt_gongbingguozhuli|维 基 亚 会 战 主 力 军 
pt_gongbingguoxianfeng|维 基 亚 先 锋 部 队 
pt_gongbingguozhuibing|维 基 亚 追 兵 
pt_gongbingguozhuibing2|维 基 亚 追 兵 
pt_henghazu|哼 哈 大 军 
pt_yemanren|奥 尔 克 主 将 
pt_weichengxianfeng|斯 瓦 迪 亚 围 城 部 队 
pt_weichengxianfeng2|斯 瓦 迪 亚 围 城 部 队 主 帅 
pt_weichengxianfeng3|斯 瓦 迪 亚 巡 哨 
pt_zhengfuzhe|海 外 探 险 家 
pt_heianjinglingdui|黑 暗 精 灵 
pt_mengguxizhengjun|蒙 古 西 征 军 
pt_menggujingying1|蒙 古 西 征 军 首 领 
pt_haiwailingzhu|大 航 海 霸 主 
pt_4jingying|诺 德 精 英 队 
pt_2jingying|海 外 精 英 队 
pt_5jingying|罗 多 克 精 英 队 
pt_6jingying|萨 兰 德 精 英 队 
pt_9jingying|三 啸 联 盟 征 伐 军 
pt_latiao|平 民 自 卫 队 
pt_kafeidui|咖 啡 
pt_ceshiduiwu|战 力 测 试 队 伍 
